Colegio,A�o de creaci�n,G�nero,Distrito
Colegio Divino Maestro,1965,Mixto,Jesús María
Colegio Nacional de Mujeres Gabriela Mistral,1967,Femenino,Jesús María
Colegio Jorge Polar,1967,Mixto,Pueblo Libre
Colegio Parroquial Angélica Recharte,1967,Mixto,Magdalena del Mar
Colegio San Felipe,1967,Mixto,Jesús María
Colegio Parroquial San Lucas,1966,Mixto,Pueblo Libre
Institución Educativa N° 1057,1966,Mixto,Lince
Institución Educativa Yolanda Prieto Anicama,1966,Femenino,Breña
Institución Educativa N° 2070 Nuestra Señora del Carmen de Naranjal,1970,Mixto,Independencia
Colegio Agustiniano San Martín de Porres,1970,Mixto,Pueblo Libre
Colegio Marie Curie,1970,Mixto,Pueblo Libre
Colegio Peruano Japonés La Unión,1972,Mixto,Pueblo Libre
Colegio San José de Monterrico,1972,Mixto,Surco
Colegio Santa Rita de Casia,1972,Mixto,Jesús María
Institución Educativa N° 6071 República Federal de Alemania,1972,Mixto,San Juan de Miraflores (ahora Villa El Salvador)
Institución Educativa Emblemática Carlos Wiesse,1972,Mixto,Comas
Colegio Abraham Valdelomar,1975,Mixto,Pueblo Libre
Colegio San Patricio,1975,Mixto,Jesús María
Colegio S. Salazar Bondy,1977,Mixto,Surquillo (ahora San Borja)
Institución Educativa N° 3037 Gran Amauta,1977,Mixto,San Martín de Porres
Institución Educativa Técnica República de Bolivia,1978,Mixto,Villa El Salvador
Institución Educativa N° 2064 República Federal de Alemania,1978,Mixto,Puente Piedra
William Lambert Brittain College,1978,Mixto,San Isidro
Colegio San Clemente,1979,Mixto,Jesús María
Newton College,1979,Mixto,La Molina
Hiram Bingham School,1980,Mixto,Surco
Colegio Villa Caritas,1981,Femenino,La Molina
Colegio Leonardo da Vinci,1981,Mixto,Surco
Colegio Alberto Benjamín Simpson,1982,Mixto,Magdalena del Mar
Colegio Espíritu Santo,1982,Mixto,Miraflores
Colegio Christa McAuliffe,1982,Mixto,Lince
Colegio José Antonio Encinas,1982,Mixto,Magdalena del Mar
Institución Educativa N° 6048 Jorge Basadre,1982,Mixto,Villa El Salvador
Institución Educativa Nuestra Señora del Buen Consejo,1983,Mixto,Breña
Colegio Héctor de Cárdenas,1984,Mixto,Jesús María
Colegio Nuestra Señora del Rosario,1984,Mixto,San Borja
Colegio San Genaro,1984,Mixto,Pueblo Libre
Walt Whitman School,1984,Mixto,San Miguel
Colegio Cristo Rey,1985,Mixto,Pueblo Libre
Colegio Peruano Ruso Maxim Gorki,1985,Mixto,San Miguel
Colegio Sarmiento,1985,Mixto,La Molina
Institución Educativa Sor Ana de Los Ángeles,1985,Mixto,"Miraflores, Pueblo Libre"
Casuarinas College,1986,Mixto,Surco
Colegio Los Rosales,1986,Mixto,San Miguel
Colegio San Judas Tadeo,1987,Mixto,San Miguel
Colegio Cristo El Salvador,1988,Mixto,Villa El Salvador
Colegio Saint Nicholas,1988,Mixto,La Victoria
Colegio Santiago Antúnez de Mayolo,1989,Mixto,Ancón
Colegio Adesa,1990,Mixto,Ancón
Colegio Científico Albert Einstein,1990,Mixto,"Breña, Cercado de Lima, Jesús María, Lince"
Colegio Personalizado Mabel Condemarín,1990,Mixto,Pueblo Libre
Colegio Bilingüe Santa María de la Gracia,1991,Mixto,Jesús María
Colegio Claret,1991,Mixto,San Miguel
Colegio Jhon F. Kennedy,1991,Mixto,Lurín
Colegio Virgen de Guadalupe,1991,Mixto,San Miguel
Colegio Ebenezer,1992,Mixto,Comas
Colegio Los Álamos,1992,Masculino,Jesús María
Colegio San Lorenzo,1992,Mixto,Ate
Institución Educativa Cristo Rey de Villa,1992,Mixto,Villa El Salvador
Colegio Adviento de Miraflores,1992,Mixto,Miraflores
Karol Wojtyla College,1992,Mixto,San Miguel
Colegio Clemente Althaus,1993,Mixto,San Miguel
Colegio San Pio X,1993,Mixto,"San Martín de Porres, Los Olivos"
Colegio Santa Isabel,1993,Mixto,Pueblo Libre
Colegio Santísima Cruz,1993,Mixto,San Miguel
Colegio Dios es Amor,1994,Mixto,Ancón
Colegio Miguel Ángel Buonarroti,1994,Mixto,La Victoria
Institución Educativa Santo Toribio de Mogrovejo,1994,Mixto,San Miguel
Colegio Altair,1995,Mixto,La Molina
Colegio Humánitas,1995,Mixto,La Molina
Colegio Reina Sofía,1995,Mixto,Jesús María
Colegio Salazar Bondy,1995,Mixto,Ancón
Colegio Santo Domingo de Guzmán,1995,Mixto,San Juan de Lurigancho
Institución Educativa N° 1110 República de Panamá,1995,Mixto,La Victoria
Colegio Raymond Clark,1996,Mixto,Pueblo Libre
Colegio Trilce,1996,Mixto,"Ate, Cercado de Lima, Chorrillos, Comas, Jesús María, La Molina, Los Olivos, Miraflores, San Isidro, San Juan de Lurigancho, San Martín de Porres, San Miguel, Santa Anita, Surco, Villa El Salvador, Villa María del Triunfo"
Colegio Siempre Amanecer,1996,Mixto,Miraflores
Colegio Ellen Parkurst,1997,Mixto,La Molina
La Molina Christian Schools,1997,Mixto,La Molina
Colegio Saco Oliveros,1997,Mixto,"Ate, Barranco, Cercado de Lima, Comas, El Agustino, Jesús María, La Victoria, Lince, Los Olivos, Pueblo Libre, Puente Piedra, San Juan de Miraflores, San Luis, San Martín de Porres, Santa Anita, Villa El Salvador, Villa María El Triunfo"
Colegio San Charbel,1997,Masculino,San Miguel
Colegio San Pedro,1997,Masculino,La Molina
Colegio San Fabián,1997,Mixto,San Miguel
Colegio Emiliano Pisculich Ramírez,1998,Mixto,Magdalena del Mar
Colegio Nuestra Señora del Consuelo,1999,Mixto,Surco
Vedruna School,1999,Mixto,Pueblo Libre
Colegio Pitágoras,2000,Mixto,"Comas, Los Olivos, San Borja, San Juan de Lurigancho, San Martín de Porres, San Miguel"
"Colegio Santo Domingo, El Apóstol",2001,Mixto,San Miguel
Institución Educativa N° 1003 República de Colombia,2001,Mixto,Breña
Colegio El Mesías (antiguo Wonderful School),2002,Mixto,Los Olivos
Colegio Pamer,2003,Mixto,"Ate, Barranco, Chorrillos, Comas, Jesús María, Lince, Los Olivos, Magdalena del Mar, Puente Piedra, San Juan de Lurigancho, San Juan de Miraflores, Villa El Salvador"
Colegio Dante Alighieri,2003,Mixto,Cercado de Lima
Joseph and Mery High School,2004,Mixto,Jesús María
International High School EIGER,2008,Mixto,Jesús María
Colegio Mayor Secundario Presidente del Perú Colegios de Alto Rendimiento (COAR),2009 (Fundación del Colegio Mayor) 2015 (Creación de los COAR),"Mixto, para alumnos sobresalientes, Internado, Estatal, con Bachillerato Internacional",Lurigancho-Chosica y a nivel nacional.
Colegio Nuestra Señora de la Luz,2010,Mixto,San Isidro
Colegio Alborada,2011,,Miraflores
Institución Educativa N°6005 General Emilio Soyer Cabero,1958,Mixto,Chorrillos
Institución Educativa N°6085 Brigida Silva de Ochoa,1963,Femenino,Chorrillos
Institución Educativa N°1278 Mixto La Molina,1965,Mixto,La Molina
Institución Educativa Víctor Raul Haya de La Torre,1968,Varones,Ate
Institución Educativa Técnica Villa el Salvador,1971,Mixto,Villa El Salvador
Colegio  Convenio Virgo Potens,1959,Femenino,Cercado De Lima
